x,y,ln(x),ln(x)y,ln(x)^2
1980.2083,340.07,7.5910,2581.4569,57.6226
1980.2917,340.93,7.5910,2587.9994,57.6233
1980.3750,341.45,7.5910,2591.9611,57.6239
1980.4583,341.36,7.5911,2591.2923,57.6245
1980.5417,339.45,7.5911,2576.8076,57.6252
1980.6250,337.67,7.5912,2563.3096,57.6258
1980.7083,336.25,7.5912,2552.5443,57.6265
1980.7917,336.14,7.5913,2551.7234,57.6271
1980.8750,337.30,7.5913,2560.5434,57.6277
1980.9583,338.29,7.5913,2568.0731,57.6284
1981.0417,339.29,7.5914,2575.6787,57.6290
1981.1250,340.55,7.5914,2585.2581,57.6297
1981.2083,341.63,7.5915,2593.4712,57.6303
1981.2917,342.60,7.5915,2600.8494,57.6309
1981.3750,343.04,7.5915,2604.2041,57.6316
1981.4583,342.54,7.5916,2600.4227,57.6322
1981.5417,340.82,7.5916,2587.3795,57.6329
1981.6250,338.48,7.5917,2569.6293,57.6335
1981.7083,336.95,7.5917,2558.0282,57.6341
1981.7917,337.05,7.5918,2558.8016,57.6348
1981.8750,338.58,7.5918,2570.4312,57.6354
1981.9583,339.91,7.5918,2580.5426,57.6360
1982.0417,340.93,7.5919,2588.3006,57.6367
1982.1250,341.76,7.5919,2594.6162,57.6373
1982.2083,342.78,7.5920,2602.3744,57.6380
1982.2917,343.96,7.5920,2611.3474,57.6386
1982.3750,344.77,7.5921,2617.5114,57.6392
1982.4583,343.88,7.5921,2610.7689,57.6399
1982.5417,342.42,7.5921,2599.6989,57.6405
1982.6250,340.24,7.5922,2583.1623,57.6412
1982.7083,338.37,7.5922,2568.9791,57.6418
1982.7917,338.41,7.5923,2569.2971,57.6424
1982.8750,339.44,7.5923,2577.1314,57.6431
1982.9583,340.78,7.5923,2587.3194,57.6437
1983.0417,341.57,7.5924,2593.3317,57.6443
1983.1250,342.79,7.5924,2602.6088,57.6450
1983.2083,343.37,7.5925,2607.0268,57.6456
1983.2917,345.40,7.5925,2622.4541,57.6463
1983.3750,346.14,7.5926,2628.0871,57.6469
1983.4583,345.76,7.5926,2625.2164,57.6475
1983.5417,344.32,7.5926,2614.2976,57.6482
1983.6250,342.51,7.5927,2600.5693,57.6488
1983.7083,340.46,7.5927,2585.0186,57.6494
1983.7917,340.53,7.5928,2585.5644,57.6501
1983.8750,341.79,7.5928,2595.1456,57.6507
1983.9583,343.20,7.5928,2605.8659,57.6514
1984.0417,344.21,7.5929,2613.5491,57.6520
1984.1250,344.92,7.5929,2618.9546,57.6526
1984.2083,345.68,7.5930,2624.7397,57.6533
1984.2917,347.38,7.5930,2637.6624,57.6539
1984.3750,347.77,7.5931,2640.6382,57.6545
1984.4583,347.16,7.5931,2636.0210,57.6552
1984.5417,345.79,7.5931,2625.6330,57.6558
1984.6250,343.74,7.5932,2610.0815,57.6565
1984.7083,341.59,7.5932,2593.7705,57.6571
1984.7917,341.86,7.5933,2595.8350,57.6577
1984.8750,343.31,7.5933,2606.8597,57.6584
1984.9583,345.00,7.5934,2619.7068,57.6590
1985.0417,345.48,7.5934,2623.3662,57.6597
1985.1250,346.41,7.5934,2630.4426,57.6603
1985.2083,347.91,7.5935,2641.8473,57.6609
1985.2917,348.66,7.5935,2647.5571,57.6616
1985.3750,349.28,7.5936,2652.2797,57.6622
1985.4583,348.65,7.5936,2647.5104,57.6628
1985.5417,346.90,7.5936,2634.2362,57.6635
1985.6250,345.26,7.5937,2621.7971,57.6641
1985.7083,343.47,7.5937,2608.2188,57.6647
1985.7917,343.35,7.5938,2607.3219,57.6654
1985.8750,344.73,7.5938,2617.8158,57.6660
1985.9583,346.12,7.5939,2628.3857,57.6667
1986.0417,346.78,7.5939,2633.4122,57.6673
1986.1250,347.48,7.5939,2638.7425,57.6679
1986.2083,348.25,7.5940,2644.6045,57.6686
1986.2917,349.86,7.5940,2656.8455,57.6692
1986.3750,350.52,7.5941,2661.8722,57.6698
1986.4583,349.98,7.5941,2657.7861,57.6705
1986.5417,348.25,7.5942,2644.6629,57.6711
1986.6250,346.17,7.5942,2628.8816,57.6718
1986.7083,345.48,7.5942,2623.6561,57.6724
1986.7917,344.82,7.5943,2618.6584,57.6730
1986.8750,346.22,7.5943,2629.3049,57.6737
1986.9583,347.48,7.5944,2638.8883,57.6743
1987.0417,348.73,7.5944,2648.3959,57.6749
1987.1250,348.92,7.5944,2649.8535,57.6756
1987.2083,349.81,7.5945,2656.6272,57.6762
1987.2917,351.40,7.5945,2668.7172,57.6769
1987.3750,352.15,7.5946,2674.4278,57.6775
1987.4583,351.58,7.5946,2670.1136,57.6781
1987.5417,350.21,7.5947,2659.7237,57.6788
1987.6250,348.20,7.5947,2644.4731,57.6794
1987.7083,346.66,7.5947,2632.7918,57.6800
1987.7917,346.72,7.5948,2633.2620,57.6807
1987.8750,348.08,7.5948,2643.6055,57.6813
1987.9583,349.28,7.5949,2652.7339,57.6820
1988.0417,350.51,7.5949,2662.0903,57.6826
1988.1250,351.70,7.5949,2671.1430,57.6832
1988.2083,352.50,7.5950,2677.2337,57.6839
1988.2917,353.67,7.5950,2686.1347,57.6845
1988.3750,354.35,7.5951,2691.3141,57.6851
1988.4583,353.88,7.5951,2687.7593,57.6858
1988.5417,352.80,7.5952,2679.5713,57.6864
1988.6250,350.49,7.5952,2662.0412,57.6870
1988.7083,348.97,7.5952,2650.5111,57.6877
1988.7917,349.37,7.5953,2653.5639,57.6883
1988.8750,350.42,7.5953,2661.5536,57.6890
1988.9583,351.62,7.5954,2670.6827,57.6896
1989.0417,353.07,7.5954,2681.7108,57.6902
1989.1250,353.43,7.5955,2684.4599,57.6909
1989.2083,354.08,7.5955,2689.4118,57.6915
1989.2917,355.72,7.5955,2701.8833,57.6921
1989.3750,355.95,7.5956,2703.6452,57.6928
1989.4583,355.44,7.5956,2699.7863,57.6934
1989.5417,354.05,7.5957,2689.2433,57.6940
1989.6250,351.84,7.5957,2672.4716,57.6947
1989.7083,350.09,7.5957,2659.1938,57.6953
1989.7917,350.33,7.5958,2661.0314,57.6960
1989.8750,351.55,7.5958,2670.3130,57.6966
1989.9583,352.91,7.5959,2680.6581,57.6972
1990.0417,353.86,7.5959,2687.8890,57.6979
1990.1250,355.10,7.5960,2697.3228,57.6985
1990.2083,355.75,7.5960,2702.2751,57.6991
1990.2917,356.38,7.5960,2707.0755,57.6998
1990.3750,357.38,7.5961,2714.6865,57.7004
1990.4583,356.39,7.5961,2707.1813,57.7010
1990.5417,354.89,7.5962,2695.8020,57.7017
1990.6250,353.06,7.5962,2681.9158,57.7023
1990.7083,351.38,7.5962,2669.1688,57.7030
1990.7917,351.69,7.5963,2671.5384,57.7036
1990.8750,353.14,7.5963,2682.5678,57.7042
1990.9583,354.41,7.5964,2692.2300,57.7049
1991.0417,354.93,7.5964,2696.1950,57.7055
1991.1250,355.82,7.5965,2702.9706,57.7061
1991.2083,357.33,7.5965,2714.4562,57.7068
1991.2917,358.77,7.5965,2725.4102,57.7074
1991.3750,359.23,7.5966,2728.9197,57.7080
1991.4583,358.23,7.5966,2721.3381,57.7087
1991.5417,356.30,7.5967,2706.6915,57.7093
1991.6250,353.97,7.5967,2689.0061,57.7099
1991.7083,352.34,7.5967,2676.6382,57.7106
1991.7917,352.43,7.5968,2677.3367,57.7112
1991.8750,353.89,7.5968,2688.4428,57.7119
1991.9583,355.21,7.5969,2698.4854,57.7125
1992.0417,356.34,7.5969,2707.0848,57.7131
1992.1250,357.21,7.5970,2713.7091,57.7138
1992.2083,357.97,7.5970,2719.4977,57.7144
1992.2917,359.22,7.5970,2729.0090,57.7150
1992.3750,359.71,7.5971,2732.7466,57.7157
1992.4583,359.44,7.5971,2730.7104,57.7163
1992.5417,357.15,7.5972,2713.3280,57.7169
1992.6250,354.99,7.5972,2696.9329,57.7176
1992.7083,353.01,7.5972,2681.9052,57.7182
1992.7917,353.40,7.5973,2684.8829,57.7188
1992.8750,354.42,7.5973,2692.6470,57.7195
1992.9583,355.68,7.5974,2702.2345,57.7201
1993.0417,357.10,7.5974,2713.0377,57.7207
1993.1250,357.42,7.5975,2715.4838,57.7214
1993.2083,358.59,7.5975,2724.3878,57.7220
1993.2917,359.39,7.5975,2730.4809,57.7227
1993.3750,360.30,7.5976,2737.4097,57.7233
1993.4583,359.64,7.5976,2732.4103,57.7239
1993.5417,357.45,7.5977,2715.7865,57.7246
1993.6250,355.76,7.5977,2702.9613,57.7252
1993.7083,354.14,7.5978,2690.6678,57.7258
1993.7917,354.23,7.5978,2691.3664,57.7265
1993.8750,355.53,7.5978,2701.2584,57.7271
1993.9583,357.03,7.5979,2712.6700,57.7277
1994.0417,358.36,7.5979,2722.7902,57.7284
1994.1250,359.04,7.5980,2727.9718,57.7290
1994.2083,360.11,7.5980,2736.1166,57.7296
1994.2917,361.36,7.5980,2745.6293,57.7303
1994.3750,361.78,7.5981,2748.8356,57.7309
1994.4583,360.94,7.5981,2742.4682,57.7315
1994.5417,359.51,7.5982,2731.6179,57.7322
1994.6250,357.59,7.5982,2717.0444,57.7328
1994.7083,355.86,7.5983,2703.9143,57.7335
1994.7917,356.21,7.5983,2706.5886,57.7341
1994.8750,357.65,7.5983,2717.5451,57.7347
1994.9583,359.10,7.5984,2728.5777,57.7354
1995.0417,360.04,7.5984,2735.7352,57.7360
1995.1250,361.00,7.5985,2743.0448,57.7366
1995.2083,361.98,7.5985,2750.5064,57.7373
1995.2917,363.44,7.5985,2761.6154,57.7379
1995.3750,363.83,7.5986,2764.5940,57.7385
1995.4583,363.33,7.5986,2760.8099,57.7392
1995.5417,361.78,7.5987,2749.0471,57.7398
1995.6250,359.33,7.5987,2730.4454,57.7404
1995.7083,358.32,7.5988,2722.7856,57.7411
1995.7917,358.14,7.5988,2721.4328,57.7417
1995.8750,359.61,7.5988,2732.6181,57.7423
1995.9583,360.82,7.5989,2741.8277,57.7430
1996.0417,362.20,7.5989,2752.3293,57.7436
1996.1250,363.36,7.5990,2761.1592,57.7442
1996.2083,364.28,7.5990,2768.1655,57.7449
1996.2917,364.69,7.5990,2771.2963,57.7455
1996.3750,365.25,7.5991,2775.5670,57.7461
1996.4583,365.06,7.5991,2774.1384,57.7468
1996.5417,363.69,7.5992,2763.7428,57.7474
1996.6250,361.55,7.5992,2747.4957,57.7480
1996.7083,359.69,7.5993,2733.3761,57.7487
1996.7917,359.72,7.5993,2733.6191,57.7493
1996.8750,361.04,7.5993,2743.6653,57.7499
1996.9583,362.39,7.5994,2753.9395,57.7506
1997.0417,363.24,7.5994,2760.4141,57.7512
1997.1250,364.21,7.5995,2767.8008,57.7519
1997.2083,364.65,7.5995,2771.1597,57.7525
1997.2917,366.48,7.5995,2785.0821,57.7531
1997.3750,366.77,7.5996,2787.3013,57.7538
1997.4583,365.73,7.5996,2779.4130,57.7544
1997.5417,364.46,7.5997,2769.7767,57.7550
1997.6250,362.40,7.5997,2754.1364,57.7557
1997.7083,360.44,7.5998,2739.2560,57.7563
1997.7917,360.97,7.5998,2743.2990,57.7569
1997.8750,362.65,7.5998,2756.0818,57.7576
1997.9583,364.51,7.5999,2770.2327,57.7582
1998.0417,365.39,7.5999,2776.9358,57.7588
1998.1250,366.10,7.6000,2782.3470,57.7595
1998.2083,367.36,7.6000,2791.9383,57.7601
1998.2917,368.79,7.6000,2802.8217,57.7607
1998.3750,369.56,7.6001,2808.6891,57.7614
1998.4583,369.13,7.6001,2805.4365,57.7620
1998.5417,367.98,7.6002,2796.7117,57.7626
1998.6250,366.10,7.6002,2782.4386,57.7633
1998.7083,364.16,7.6003,2767.7094,57.7639
1998.7917,364.54,7.6003,2770.6127,57.7645
1998.8750,365.67,7.6003,2779.2163,57.7652
1998.9583,367.30,7.6004,2791.6201,57.7658
1999.0417,368.35,7.6004,2799.6159,57.7664
1999.1250,369.28,7.6005,2806.6997,57.7671
1999.2083,369.84,7.6005,2810.9713,57.7677
1999.2917,371.15,7.6005,2820.9435,57.7683
1999.3750,371.12,7.6006,2820.7309,57.7690
1999.4583,370.46,7.6006,2815.7300,57.7696
1999.5417,369.61,7.6007,2809.2849,57.7702
1999.6250,367.06,7.6007,2789.9184,57.7709
1999.7083,364.95,7.6008,2773.8961,57.7715
1999.7917,365.52,7.6008,2778.2438,57.7721
1999.8750,366.88,7.6008,2788.5962,57.7728
1999.9583,368.26,7.6009,2799.1007,57.7734
2000.0417,369.45,7.6009,2808.1611,57.7740
2000.1250,369.71,7.6010,2810.1528,57.7747
2000.2083,370.75,7.6010,2818.0732,57.7753
2000.2917,371.98,7.6010,2827.4379,57.7759
2000.3750,371.74,7.6011,2825.6292,57.7766
2000.4583,371.87,7.6011,2826.6328,57.7772
2000.5417,370.02,7.6012,2812.5861,57.7778
2000.6250,368.27,7.6012,2799.2994,57.7785
2000.7083,367.15,7.6013,2790.8013,57.7791
2000.7917,367.18,7.6013,2791.0447,57.7797
2000.8750,368.53,7.6013,2801.3218,57.7804
2000.9583,369.83,7.6014,2811.2189,57.7810
2001.0417,370.76,7.6014,2818.3037,57.7816
2001.1250,371.69,7.6015,2825.3885,57.7823
2001.2083,372.63,7.6015,2832.5493,57.7829
2001.2917,373.55,7.6015,2839.5583,57.7835
2001.3750,374.03,7.6016,2843.2226,57.7842
2001.4583,373.40,7.6016,2838.4491,57.7848
2001.5417,371.68,7.6017,2825.3898,57.7854
2001.6250,369.78,7.6017,2810.9620,57.7861
2001.7083,368.34,7.6018,2800.0309,57.7867
2001.7917,368.61,7.6018,2802.0987,57.7873
2001.8750,369.94,7.6018,2812.2245,57.7880
2001.9583,371.42,7.6019,2823.4907,57.7886
2002.0417,372.70,7.6019,2833.2366,57.7892
2002.1250,373.37,7.6020,2838.3454,57.7899
2002.2083,374.30,7.6020,2845.4308,57.7905
2002.2917,375.19,7.6020,2852.2123,57.7911
2002.3750,375.93,7.6021,2857.8534,57.7918
2002.4583,375.69,7.6021,2856.0445,57.7924
2002.5417,374.16,7.6022,2844.4289,57.7930
2002.6250,372.03,7.6022,2828.2517,57.7937
