x,y,ln(x),ln(y),ln(x)ln(y),ln(x)^2
1983.0417,341.57,7.5924,5.8336,44.2906,57.6443
1983.1250,342.79,7.5924,5.8371,44.3179,57.6450
1983.2083,343.37,7.5925,5.8388,44.3310,57.6456
1983.2917,345.40,7.5925,5.8447,44.3760,57.6463
1983.3750,346.14,7.5926,5.8468,44.3925,57.6469
1983.4583,345.76,7.5926,5.8457,44.3844,57.6475
1983.5417,344.32,7.5926,5.8416,44.3529,57.6482
1983.6250,342.51,7.5927,5.8363,44.3132,57.6488
1983.7083,340.46,7.5927,5.8303,44.2678,57.6494
1983.7917,340.53,7.5928,5.8305,44.2696,57.6501
1983.8750,341.79,7.5928,5.8342,44.2979,57.6507
1983.9583,343.20,7.5928,5.8383,44.3294,57.6514
1984.0417,344.21,7.5929,5.8413,44.3520,57.6520
1984.1250,344.92,7.5929,5.8433,44.3679,57.6526
1984.2083,345.68,7.5930,5.8455,44.3848,57.6533
1984.2917,347.38,7.5930,5.8504,44.4223,57.6539
1984.3750,347.77,7.5931,5.8515,44.4311,57.6545
1984.4583,347.16,7.5931,5.8498,44.4180,57.6552
1984.5417,345.79,7.5931,5.8458,44.3882,57.6558
1984.6250,343.74,7.5932,5.8399,44.3433,57.6565
1984.7083,341.59,7.5932,5.8336,44.2959,57.6571
1984.7917,341.86,7.5933,5.8344,44.3022,57.6577
1984.8750,343.31,7.5933,5.8386,44.3346,57.6584
1984.9583,345.00,7.5934,5.8435,44.3721,57.6590
1985.0417,345.48,7.5934,5.8449,44.3829,57.6597
1985.1250,346.41,7.5934,5.8476,44.4036,57.6603
1985.2083,347.91,7.5935,5.8519,44.4366,57.6609
1985.2917,348.66,7.5935,5.8541,44.4532,57.6616
1985.3750,349.28,7.5936,5.8559,44.4669,57.6622
1985.4583,348.65,7.5936,5.8541,44.4535,57.6628
1985.5417,346.90,7.5936,5.8490,44.4155,57.6635
1985.6250,345.26,7.5937,5.8443,44.3798,57.6641
1985.7083,343.47,7.5937,5.8391,44.3406,57.6647
1985.7917,343.35,7.5938,5.8388,44.3381,57.6654
1985.8750,344.73,7.5938,5.8428,44.3688,57.6660
1985.9583,346.12,7.5939,5.8468,44.3997,57.6667
1986.0417,346.78,7.5939,5.8487,44.4144,57.6673
1986.1250,347.48,7.5939,5.8507,44.4299,57.6679
1986.2083,348.25,7.5940,5.8529,44.4470,57.6686
1986.2917,349.86,7.5940,5.8575,44.4823,57.6692
1986.3750,350.52,7.5941,5.8594,44.4968,57.6698
1986.4583,349.98,7.5941,5.8579,44.4853,57.6705
1986.5417,348.25,7.5942,5.8529,44.4480,57.6711
1986.6250,346.17,7.5942,5.8469,44.4027,57.6718
1986.7083,345.48,7.5942,5.8449,44.3878,57.6724
1986.7917,344.82,7.5943,5.8430,44.3735,57.6730
1986.8750,346.22,7.5943,5.8471,44.4045,57.6737
1986.9583,347.48,7.5944,5.8507,44.4324,57.6743
1987.0417,348.73,7.5944,5.8543,44.4599,57.6749
1987.1250,348.92,7.5944,5.8548,44.4643,57.6756
1987.2083,349.81,7.5945,5.8574,44.4839,57.6762
1987.2917,351.40,7.5945,5.8619,44.5186,57.6769
1987.3750,352.15,7.5946,5.8641,44.5350,57.6775
1987.4583,351.58,7.5946,5.8624,44.5229,57.6781
1987.5417,350.21,7.5947,5.8585,44.4935,57.6788
1987.6250,348.20,7.5947,5.8528,44.4501,57.6794
1987.7083,346.66,7.5947,5.8483,44.4166,57.6800
1987.7917,346.72,7.5948,5.8485,44.4182,57.6807
1987.8750,348.08,7.5948,5.8524,44.4482,57.6813
1987.9583,349.28,7.5949,5.8559,44.4746,57.6820
1988.0417,350.51,7.5949,5.8594,44.5015,57.6826
1988.1250,351.70,7.5949,5.8628,44.5275,57.6832
1988.2083,352.50,7.5950,5.8651,44.5450,57.6839
1988.2917,353.67,7.5950,5.8684,44.5704,57.6845
1988.3750,354.35,7.5951,5.8703,44.5852,57.6851
1988.4583,353.88,7.5951,5.8690,44.5754,57.6858
1988.5417,352.80,7.5952,5.8659,44.5524,57.6864
1988.6250,350.49,7.5952,5.8593,44.5028,57.6870
1988.7083,348.97,7.5952,5.8550,44.4700,57.6877
1988.7917,349.37,7.5953,5.8561,44.4790,57.6883
1988.8750,350.42,7.5953,5.8591,44.5020,57.6890
1988.9583,351.62,7.5954,5.8626,44.5282,57.6896
1989.0417,353.07,7.5954,5.8667,44.5597,57.6902
1989.1250,353.43,7.5955,5.8677,44.5677,57.6909
