x,y,ln(y),xln(y),x^2
1991.3750,359.23,5.8840,11717.1765,3965574.3906
1991.4583,358.23,5.8812,11712.1152,3965906.1606
1991.5417,356.30,5.8758,11701.8471,3966238.3428
1991.6250,353.97,5.8692,11689.2697,3966570.1406
1991.7083,352.34,5.8646,11680.5658,3966901.9523
1991.7917,352.43,5.8649,11681.5636,3967234.1762
1991.8750,353.89,5.8690,11690.2867,3967566.0156
1991.9583,355.21,5.8727,11698.1918,3967897.8689
1992.0417,356.34,5.8759,11705.0086,3968230.1345
1992.1250,357.21,5.8783,11710.3559,3968562.0156
1992.2083,357.97,5.8804,11715.0797,3968893.9106
1992.2917,359.22,5.8839,11722.5149,3969226.2179
1992.3750,359.71,5.8853,11725.7209,3969558.1406
1992.4583,359.44,5.8845,11724.7150,3969890.0772
1992.5417,357.15,5.8782,11712.4707,3970222.4262
1992.6250,354.99,5.8721,11700.8726,3970554.3906
1992.7083,353.01,5.8665,11690.2160,3970886.3689
1992.7917,353.40,5.8676,11692.9057,3971218.7596
1992.8750,354.42,5.8705,11699.1381,3971550.7656
1992.9583,355.68,5.8740,11706.6997,3971882.7855
1993.0417,357.10,5.8780,11715.1307,3972215.2179
1993.1250,357.42,5.8789,11717.4056,3972547.2656
1993.2083,358.59,5.8822,11724.4093,3972879.3272
1993.2917,359.39,5.8844,11729.3419,3973211.8013
1993.3750,360.30,5.8869,11734.8731,3973543.8906
1993.4583,359.64,5.8851,11731.7085,3973875.9938
1993.5417,357.45,5.8790,11720.0227,3974208.5096
1993.6250,355.76,5.8743,11711.0643,3974540.6406
1993.7083,354.14,5.8697,11702.4543,3974872.7855
1993.7917,354.23,5.8699,11703.4505,3975205.3430
1993.8750,355.53,5.8736,11711.2434,3975537.5156
1993.9583,357.03,5.8778,11720.1276,3975869.7021
1994.0417,358.36,5.8815,11728.0322,3976202.3013
1994.1250,359.04,5.8834,11732.3024,3976534.5156
1994.2083,360.11,5.8864,11738.7268,3976866.7438
1994.2917,361.36,5.8899,11746.1282,3977199.3847
1994.3750,361.78,5.8910,11748.9355,3977531.6406
1994.4583,360.94,5.8887,11744.7900,3977863.9104
1994.5417,359.51,5.8847,11737.3633,3978196.5930
1994.6250,357.59,5.8794,11727.1725,3978528.8906
1994.7083,355.86,5.8745,11717.9885,3978861.2021
1994.7917,356.21,5.8755,11720.4394,3979193.9264
1994.8750,357.65,5.8796,11728.9770,3979526.2656
1994.9583,359.10,5.8836,11737.5385,3979858.6187
1995.0417,360.04,5.8862,11743.2447,3980191.3847
1995.1250,361.00,5.8889,11749.0476,3980523.7656
1995.2083,361.98,5.8916,11754.9472,3980856.1604
1995.2917,363.44,5.8956,11763.4701,3981188.9681
1995.3750,363.83,5.8967,11766.1013,3981521.3906
1995.4583,363.33,5.8953,11763.8483,3981853.8270
1995.5417,361.78,5.8910,11755.8086,3982186.6764
1995.6250,359.33,5.8842,11742.7388,3982519.1406
1995.7083,358.32,5.8814,11737.6116,3982851.6187
1995.7917,358.14,5.8809,11737.0993,3983184.5098
1995.8750,359.61,5.8850,11745.7645,3983517.0156
1995.9583,360.82,5.8884,11752.9594,3983849.5353
1996.0417,362.20,5.8922,11761.0700,3984182.4681
1996.1250,363.36,5.8954,11767.9435,3984515.0156
1996.2083,364.28,5.8979,11773.4825,3984847.5770
1996.2917,364.69,5.8990,11776.2199,3985180.5515
1996.3750,365.25,5.9006,11779.7745,3985513.1406
1996.4583,365.06,5.9001,11779.2272,3985845.7436
1996.5417,363.69,5.8963,11772.2125,3986178.7598
1996.6250,361.55,5.8904,11760.9206,3986511.3906
1996.7083,359.69,5.8852,11751.1126,3986844.0353
1996.7917,359.72,5.8853,11751.7700,3987177.0932
1996.8750,361.04,5.8890,11759.5744,3987509.7656
1996.9583,362.39,5.8927,11767.5181,3987842.4519
1997.0417,363.24,5.8951,11772.6882,3988175.5515
1997.1250,364.21,5.8977,11778.5053,3988508.2656
1997.2083,364.65,5.8989,11781.4079,3988840.9936
1997.2917,366.48,5.9039,11791.8982,3989174.1349
1997.3750,366.77,5.9047,11793.9700,3989506.8906
1997.4583,365.73,5.9019,11788.7899,3989839.6602
1997.5417,364.46,5.8984,11782.3335,3990172.8432
1997.6250,362.40,5.8927,11771.5019,3990505.6406
1997.7083,360.44,5.8873,11761.1590,3990838.4519
1997.7917,360.97,5.8888,11764.5855,3991171.6766
1997.8750,362.65,5.8934,11774.3528,3991504.5156
1997.9583,364.51,5.8986,11785.0649,3991837.3685
1998.0417,365.39,5.9010,11790.3747,3992170.6349
1998.1250,366.10,5.9029,11794.7451,3992503.5156
1998.2083,367.36,5.9063,11802.1022,3992836.4102
1998.2917,368.79,5.9102,11810.3583,3993169.7183
1998.3750,369.56,5.9123,11815.0187,3993502.6406
1998.4583,369.13,5.9111,11813.1846,3993835.5768
1998.5417,367.98,5.9080,11807.4415,3994168.9266
1998.6250,366.10,5.9029,11797.6965,3994501.8906
1998.7083,364.16,5.8976,11787.5687,3994834.8685
1998.7917,364.54,5.8986,11790.1452,3995168.2600
1998.8750,365.67,5.9017,11796.8231,3995501.2656
1998.9583,367.30,5.9062,11806.2054,3995834.2851
1999.0417,368.35,5.9090,11812.4045,3996167.7183
1999.1250,369.28,5.9116,11817.9377,3996500.7656
1999.2083,369.84,5.9131,11821.4596,3996833.8268
1999.2917,371.15,5.9166,11829.0219,3997167.3017
1999.3750,371.12,5.9165,11829.3531,3997500.3906
1999.4583,370.46,5.9147,11826.2869,3997833.4934
1999.5417,369.61,5.9124,11822.1871,3998167.0100
