x,y,xy,x^2
1987.3750,352.15,699854.1062,3949659.3906
1987.4583,351.58,698750.5891,3949990.4942
1987.5417,350.21,696056.9788,3950322.0092
1987.6250,348.20,692091.0250,3950653.1406
1987.7083,346.66,689058.9593,3950984.2859
1987.7917,346.72,689207.1382,3951315.8426
1987.8750,348.08,691939.5300,3951647.0156
1987.9583,349.28,694354.0750,3951978.2025
1988.0417,350.51,696828.4963,3952309.8009
1988.1250,351.70,699223.5625,3952641.0156
1988.2083,352.50,700843.4258,3952972.2442
1988.2917,353.67,703199.1255,3953303.8843
1988.3750,354.35,704580.6813,3953635.1406
1988.4583,353.88,703675.6232,3953966.4108
1988.5417,352.80,701557.5118,3954298.0926
1988.6250,350.49,696993.1763,3954629.3906
1988.7083,348.97,693999.5355,3954960.7025
1988.7917,349.37,694824.1562,3955292.4260
1988.8750,350.42,696941.5775,3955623.7656
1988.9583,351.62,699357.5174,3955955.1191
1989.0417,353.07,702270.9530,3956286.8843
1989.1250,353.43,703016.4487,3956618.2656
1989.2083,354.08,704338.8749,3956949.6608
1989.2917,355.72,707630.8435,3957281.4677
1989.3750,355.95,708118.0312,3957612.8906
1989.4583,355.44,707133.0582,3957944.3274
1989.5417,354.05,704397.2389,3958276.1760
1989.6250,351.84,700029.6600,3958607.6406
1989.7083,350.09,696576.9787,3958939.1191
1989.7917,350.33,697083.7263,3959271.0094
1989.8750,351.55,699540.5563,3959602.5156
1989.9583,352.91,702276.1837,3959934.0357
1990.0417,353.86,704196.1560,3960265.9677
1990.1250,355.10,706693.3875,3960597.5156
1990.2083,355.75,708016.6027,3960929.0774
1990.2917,356.38,709300.1560,3961261.0511
1990.3750,357.38,711320.2175,3961592.6406
1990.4583,356.39,709379.4335,3961924.2440
1990.5417,354.89,706423.3439,3962256.2594
1990.6250,353.06,702810.0625,3962587.8906
1990.7083,351.38,699495.0825,3962919.5357
1990.7917,351.69,700141.5330,3963251.5928
1990.8750,353.14,703057.5975,3963583.2656
1990.9583,354.41,705615.5311,3963914.9523
1991.0417,354.93,706680.4306,3964247.0511
1991.1250,355.82,708482.0975,3964578.7656
1991.2083,357.33,711518.4618,3964910.4940
1991.2917,358.77,714415.7232,3965242.6345
1991.3750,359.23,715361.6412,3965574.3906
1991.4583,358.23,713400.1068,3965906.1606
1991.5417,356.30,709586.3077,3966238.3428
1991.6250,353.97,704975.5013,3966570.1406
1991.7083,352.34,701758.5024,3966901.9523
1991.7917,352.43,701967.1488,3967234.1762
1991.8750,353.89,704904.6437,3967566.0156
1991.9583,355.21,707563.5077,3967897.8689
1992.0417,356.34,709844.1394,3968230.1345
1992.1250,357.21,711606.9712,3968562.0156
1992.2083,357.97,713150.8052,3968893.9106
1992.2917,359.22,715671.0245,3969226.2179
1992.3750,359.71,716677.2112,3969558.1406
1992.4583,359.44,716169.2114,3969890.0772
1992.5417,357.15,711636.2682,3970222.4262
1992.6250,354.99,707361.9487,3970554.3906
1992.7083,353.01,703445.9570,3970886.3689
1992.7917,353.40,704252.5868,3971218.7596
1992.8750,354.42,706314.7575,3971550.7656
1992.9583,355.68,708855.4081,3971882.7855
1993.0417,357.10,711715.1911,3972215.2179
1993.1250,357.42,712382.7375,3972547.2656
1993.2083,358.59,714744.5643,3972879.3272
1993.2917,359.39,716369.1041,3973211.8013
1993.3750,360.30,718213.0125,3973543.8906
1993.4583,359.64,716927.3430,3973875.9938
1993.5417,357.45,712591.4807,3974208.5096
1993.6250,355.76,709252.0300,3974540.6406
1993.7083,354.14,706051.8574,3974872.7855
1993.7917,354.23,706260.8339,3975205.3430
1993.8750,355.53,708882.3787,3975537.5156
1993.9583,357.03,711902.9318,3975869.7021
1994.0417,358.36,714584.7836,3976202.3013
1994.1250,359.04,715970.6400,3976534.5156
1994.2083,360.11,718134.3509,3976866.7438
1994.2917,361.36,720657.2487,3977199.3847
1994.3750,361.78,721524.9875,3977531.6406
1994.4583,360.94,719879.7788,3977863.9104
1994.5417,359.51,717057.6866,3978196.5930
1994.6250,357.59,713257.9537,3978528.8906
1994.7083,355.86,709836.8956,3978861.2021
1994.7917,356.21,710564.7515,3979193.9264
1994.8750,357.65,713467.0437,3979526.2656
1994.9583,359.10,716389.5255,3979858.6187
1995.0417,360.04,718294.8137,3980191.3847
1995.1250,361.00,720240.1250,3980523.7656
1995.2083,361.98,722225.5004,3980856.1604
1995.2917,363.44,725168.8154,3981188.9681
1995.3750,363.83,725977.2863,3981521.3906
1995.4583,363.33,725009.8641,3981853.8270
1995.5417,361.78,721947.0762,3982186.6764
1995.6250,359.33,717087.9313,3982519.1406
1995.7083,358.32,715102.1981,3982851.6187
1995.7917,358.14,714772.8394,3983184.5098
1995.8750,359.61,717736.6088,3983517.0156
1995.9583,360.82,720181.6738,3983849.5353
1996.0417,362.20,722966.3037,3984182.4681
1996.1250,363.36,725311.9800,3984515.0156
1996.2083,364.28,727178.7595,3984847.5770
1996.2917,364.69,728027.6201,3985180.5515
1996.3750,365.25,729175.9688,3985513.1406
1996.4583,365.06,728827.0670,3985845.7436
1996.5417,363.69,726122.2509,3986178.7598
1996.6250,361.55,721879.7688,3986511.3906
1996.7083,359.69,718196.0084,3986844.0353
1996.7917,359.72,718285.9103,3987177.0932
1996.8750,361.04,720951.7500,3987509.7656
1996.9583,362.39,723677.7183,3987842.4519
1997.0417,363.24,725405.4271,3988175.5515
1997.1250,364.21,727372.8962,3988508.2656
1997.2083,364.65,728282.0066,3988840.9936
1997.2917,366.48,731967.4622,3989174.1349
1997.3750,366.77,732577.2288,3989506.8906
1997.4583,365.73,730530.4241,3989839.6602
1997.5417,364.46,728024.0480,3990172.8432
1997.6250,362.40,723939.3000,3990505.6406
1997.7083,360.44,720053.9797,3990838.4519
1997.7917,360.97,721142.8699,3991171.6766
1997.8750,362.65,724529.3687,3991504.5156
1997.9583,364.51,728275.7799,3991837.3685
1998.0417,365.39,730064.4568,3992170.6349
1998.1250,366.10,731513.5625,3992503.5156
1998.2083,367.36,734061.8011,3992836.4102
1998.2917,368.79,736949.9960,3993169.7183
1998.3750,369.56,738519.4650,3993502.6406
1998.4583,369.13,737690.9123,3993835.5768
1998.5417,367.98,735423.3748,3994168.9266
1998.6250,366.10,731696.6125,3994501.8906
1998.7083,364.16,727849.6145,3994834.8685
1998.7917,364.54,728639.5263,3995168.2600
1998.8750,365.67,730928.6213,3995501.2656
1998.9583,367.30,734217.3836,3995834.2851
1999.0417,368.35,736347.0102,3996167.7183
1999.1250,369.28,738236.8800,3996500.7656
1999.2083,369.84,739387.1977,3996833.8268
1999.2917,371.15,742037.1145,3997167.3017
1999.3750,371.12,742008.0500,3997500.3906
1999.4583,370.46,740719.3218,3997833.4934
1999.5417,369.61,739050.6077,3998167.0100
1999.6250,367.06,733982.3525,3998500.1406
1999.7083,364.95,729793.5441,3998833.2851
1999.7917,365.52,730963.8622,3999166.8434
1999.8750,366.88,733714.1400,3999500.0156
1999.9583,368.26,736504.6436,3999833.2017
2000.0417,369.45,738915.4061,4000166.8017
2000.1250,369.71,739466.2137,4000500.0156
2000.2083,370.75,741577.2272,4000833.2434
2000.2917,371.98,744068.5066,4001166.8851
2000.3750,371.74,743619.4025,4001500.1406
2000.4583,371.87,743910.4280,4001833.4100
2000.5417,370.02,740240.4398,4002167.0934
2000.6250,368.27,736770.1687,4002500.3906
2000.7083,367.15,734560.0523,4002833.7017
2000.7917,367.18,734650.6964,4003167.4268
2000.8750,368.53,737382.4637,4003500.7656
2000.9583,369.83,740014.4081,4003834.1183
2001.0417,370.76,741906.2207,4004167.8851
2001.1250,371.69,743798.1512,4004501.2656
2001.2083,372.63,745710.2488,4004834.6600
2001.2917,373.55,747582.5145,4005168.4685
2001.3750,374.03,748574.2912,4005501.8906
2001.4583,373.40,747344.5292,4005835.3266
2001.5417,371.68,743933.0191,4006169.1768
2001.6250,369.78,740160.8925,4006502.6406
2001.7083,368.34,737309.2352,4006836.1183
2001.7917,368.61,737880.4385,4007170.0102
2001.8750,369.94,740573.6375,4007503.5156
2001.9583,371.42,743567.3518,4007837.0349
2002.0417,372.70,746160.9416,4008170.9685
2002.1250,373.37,747533.4113,4008504.5156
2002.2083,374.30,749426.5667,4008838.0766
2002.2917,375.19,751239.8229,4009172.0519
2002.3750,375.93,752752.8337,4009505.6406
2002.4583,375.69,752303.5587,4009839.2432
2002.5417,374.16,749271.0025,4010173.2602
2002.6250,372.03,745036.5787,4010506.8906
2002.7083,370.92,742844.5626,4010840.5349
2002.7917,370.73,742494.9669,4011174.5936
2002.8750,372.43,745930.7362,4011508.2656
2002.9583,373.98,749066.3450,4011841.9515
2003.0417,375.07,751280.8504,4012176.0519
2003.1250,375.82,752814.4375,4012509.7656
2003.2083,376.64,754488.3741,4012843.4932
2003.2917,377.92,757083.9993,4013177.6353
2003.3750,378.78,758838.3825,4013511.3906
2003.4583,378.46,758228.8282,4013845.1598
2003.5417,376.88,755094.7959,4014179.3436
2003.6250,374.57,750497.8163,4014513.1406
2003.7083,373.34,748064.4567,4014846.9515
2003.7917,373.31,748035.4795,4015181.1770
2003.8750,374.84,751132.5050,4015515.0156
2003.9583,376.17,753828.9937,4015848.8681
