x,y,xy,x^4,x^3,x^2,x^2y
1965.3699,322.17,633183.2207,14920287850541.0391,7591592733.0224,3862678.8438,1244439243.1154256
1965.4548,321.87,632620.9365,14922866122491.3516,7592576599.8238,3863012.5708,1243387856.1772492
1965.5370,321.21,631350.1398,14925362718292.2891,7593529258.5651,3863335.6984,1240942059.6731064
1965.6219,318.87,626777.8553,14927941647915.0859,7594513292.6709,3863669.4538,1232008278.720327
1965.7068,317.82,624740.9352,14930520911730.2910,7595497411.7861,3864003.2236,1228057504.5138223
1965.7890,317.30,623744.8497,14933018467934.3652,7596450314.8275,3864326.3925,1226150764.3469133
1965.8740,318.87,626858.2424,14935601428564.7852,7597435760.6666,3864660.5839,1232324320.3805401
1965.9562,319.42,627965.7294,14938099622124.6211,7598388825.8165,3864983.7803,1234553119.1093163
1966.0411,320.62,630352.0975,14940680202127.7266,7599373279.6978,3865317.6069,1239298131.1208184
1966.1260,321.60,632306.1216,14943261116465.8145,7600357818.6066,3865651.4479,1243193505.6369216
1966.2027,322.39,633884.0885,14945593042695.3281,7601247339.7048,3865953.0575,1246344606.2033274
1966.2877,323.70,636487.3285,14948177634384.7227,7602233200.3525,3866287.3192,1251517205.2157466
1966.3699,324.08,637261.1572,14950677405408.6719,7603186666.6636,3866610.5836,1253091157.941517
1966.4548,323.75,636639.7415,14953259614828.8926,7604171534.9007,3866944.4804,1251923275.5434341
1966.5370,322.37,633952.5327,14955760023203.8887,7605125163.2712,3867267.7724,1246691111.7785945
1966.6219,320.36,630026.9919,14958342890965.9805,7606110198.8979,3867601.6976,1239024879.8301969
1966.7068,318.64,626671.4548,14960926093260.6055,7607095319.5772,3867935.6372,1232479011.4266505
1966.7890,318.10,625635.5809,14963427463016.1855,7608049192.3720,3868258.9705,1230493178.52273
1966.8740,319.78,628966.9677,14966014367435.4512,7609035641.0403,3868593.3319,1237098775.6673071
1966.9562,321.02,631432.2793,14968516375195.3945,7609989676.0260,3868916.6927,1241999636.6964736
